,Country,City,Latitude,temp_min,temp_max,humid,wind_speed,cloud,found_city,url
2048662,nz,kaikoura,-42.416667,52.36,52.36,100,4.54,12,kaikoura,"http://api.openweathermap.org/data/2.5/weather?q=kaikoura,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2048678,nz,kaitangata,-46.275,51.55,51.55,88,3.09,36,kaitangata,"http://api.openweathermap.org/data/2.5/weather?q=kaitangata,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2048692,nz,kakanui,-45.183333000000005,57.54,57.54,96,9.64,64,kakanui,"http://api.openweathermap.org/data/2.5/weather?q=kakanui,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2048696,nz,kakapuaka,-46.266667,51.55,51.55,88,3.09,36,kakapuaka,"http://api.openweathermap.org/data/2.5/weather?q=kakapuaka,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2048710,nz,kapuka,-46.466667,49.08,49.08,88,2.75,68,kapuka,"http://api.openweathermap.org/data/2.5/weather?q=kapuka,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2048754,nz,kennington,-46.4,49.08,49.08,88,2.75,68,kennington,"http://api.openweathermap.org/data/2.5/weather?q=kennington,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2048800,nz,kokonga,-45.216667,52.5,52.5,97,3.31,92,kokonga,"http://api.openweathermap.org/data/2.5/weather?q=kokonga,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2048855,nz,lauder,-45.05,51.87,51.87,94,2.71,80,lauder,"http://api.openweathermap.org/data/2.5/weather?q=lauder,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2048883,nz,lochiel,-46.2,49.08,49.08,88,2.75,68,lochiel,"http://api.openweathermap.org/data/2.5/weather?q=lochiel,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2048920,nz,macandrew bay,-45.866667,51.46,51.46,91,3.2,48,macandrew bay,"http://api.openweathermap.org/data/2.5/weather?q=macandrew bay,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2048935,nz,maheno,-45.166667,57.54,57.54,96,9.64,64,maheno,"http://api.openweathermap.org/data/2.5/weather?q=maheno,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2048971,nz,manapouri,-45.566666999999995,41.52,41.52,100,2.04,36,manapouri,"http://api.openweathermap.org/data/2.5/weather?q=manapouri,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2049117,nz,merrivale,-46.05,49.89,49.89,92,3.27,32,merrivale,"http://api.openweathermap.org/data/2.5/weather?q=merrivale,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2049124,nz,milburn,-46.083333,51.55,51.55,88,3.09,36,milburn,"http://api.openweathermap.org/data/2.5/weather?q=milburn,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2049125,nz,millers flat,-45.666667,42.28,42.28,87,2.75,44,millers flat,"http://api.openweathermap.org/data/2.5/weather?q=millers flat,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2049127,nz,milton,-46.120833000000005,51.55,51.55,88,3.09,36,milton,"http://api.openweathermap.org/data/2.5/weather?q=milton,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2049162,nz,momona,-45.916667,56.82,56.82,99,10.54,36,momona,"http://api.openweathermap.org/data/2.5/weather?q=momona,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
